Documentation for this spreadsheet can be found at http://www.redhenlab.org/WHEREVER_IT_WILL_BE,,,,,(Created 2019 by Peter Uhrig for the Distributed Little Red Hen Lab),,,,,,,,,
Video file name (can be with or without .mp4),Start time (in seconds),End time (in seconds),Label (optional),Offset (usually empty),Link (clickable),PowerShell commands,WGET commands,CURL commands,PowerShell Image,WGET image,CURL image,PowerShell WAV,WGET WAV,CURL WAV
2016-02-21_1026_RU_ТВЦ_News,2538,2558,grin,840,https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378&end=3398,"iwr -outf 2016-02-21_1026_RU_ТВЦ_News_3378-3398_grin.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378&end=3398""","wget -O 2016-02-21_1026_RU_ТВЦ_News_3378-3398_grin.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378&end=3398""","curl -L -o 2016-02-21_1026_RU_ТВЦ_News_3378-3398_grin.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378&end=3398""","iwr -outf 2016-02-21_1026_RU_ТВЦ_News_3378_grin.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378""","wget -O 2016-02-21_1026_RU_ТВЦ_News_3378_grin.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378""","curl -L -o 2016-02-21_1026_RU_ТВЦ_News_3378_grin.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378""","iwr -outf 2016-02-21_1026_RU_ТВЦ_News_3378-3398_grin.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378&end=3398""","wget -O 2016-02-21_1026_RU_ТВЦ_News_3378-3398_grin.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378&end=3398""","curl -L -o 2016-02-21_1026_RU_ТВЦ_News_3378-3398_grin.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3378&end=3398"""
2016-02-21_1026_RU_ТВЦ_News,2265,2296,parody,840,https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105&end=3136,"iwr -outf 2016-02-21_1026_RU_ТВЦ_News_3105-3136_parody.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105&end=3136""","wget -O 2016-02-21_1026_RU_ТВЦ_News_3105-3136_parody.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105&end=3136""","curl -L -o 2016-02-21_1026_RU_ТВЦ_News_3105-3136_parody.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105&end=3136""","iwr -outf 2016-02-21_1026_RU_ТВЦ_News_3105_parody.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105""","wget -O 2016-02-21_1026_RU_ТВЦ_News_3105_parody.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105""","curl -L -o 2016-02-21_1026_RU_ТВЦ_News_3105_parody.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105""","iwr -outf 2016-02-21_1026_RU_ТВЦ_News_3105-3136_parody.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105&end=3136""","wget -O 2016-02-21_1026_RU_ТВЦ_News_3105-3136_parody.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105&end=3136""","curl -L -o 2016-02-21_1026_RU_ТВЦ_News_3105-3136_parody.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-21_1026_RU_ТВЦ_News&start=3105&end=3136"""
2016-02-20_2130_RU_ТВЦ_News,699,711,buffering,,https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699&end=711,"iwr -outf 2016-02-20_2130_RU_ТВЦ_News_699-711_buffering.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699&end=711""","wget -O 2016-02-20_2130_RU_ТВЦ_News_699-711_buffering.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699&end=711""","curl -L -o 2016-02-20_2130_RU_ТВЦ_News_699-711_buffering.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699&end=711""","iwr -outf 2016-02-20_2130_RU_ТВЦ_News_699_buffering.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699""","wget -O 2016-02-20_2130_RU_ТВЦ_News_699_buffering.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699""","curl -L -o 2016-02-20_2130_RU_ТВЦ_News_699_buffering.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699""","iwr -outf 2016-02-20_2130_RU_ТВЦ_News_699-711_buffering.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699&end=711""","wget -O 2016-02-20_2130_RU_ТВЦ_News_699-711_buffering.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699&end=711""","curl -L -o 2016-02-20_2130_RU_ТВЦ_News_699-711_buffering.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=2016-02-20_2130_RU_ТВЦ_News&start=699&end=711"""
41473672-135a-11e7-ac96-089e01ba0335,1330,1335,,,https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330&end=1335,"iwr -outf 41473672-135a-11e7-ac96-089e01ba0335_1330-1335.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330&end=1335""","wget -O 41473672-135a-11e7-ac96-089e01ba0335_1330-1335.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330&end=1335""","curl -L -o 41473672-135a-11e7-ac96-089e01ba0335_1330-1335.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330&end=1335""","iwr -outf 41473672-135a-11e7-ac96-089e01ba0335_1330.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330""","wget -O 41473672-135a-11e7-ac96-089e01ba0335_1330.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330""","curl -L -o 41473672-135a-11e7-ac96-089e01ba0335_1330.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330""","iwr -outf 41473672-135a-11e7-ac96-089e01ba0335_1330-1335.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330&end=1335""","wget -O 41473672-135a-11e7-ac96-089e01ba0335_1330-1335.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330&end=1335""","curl -L -o 41473672-135a-11e7-ac96-089e01ba0335_1330-1335.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=41473672-135a-11e7-ac96-089e01ba0335&start=1330&end=1335"""
042054ec-0b1a-11e7-bc32-089e01ba0338,2260,2270,,,https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260&end=2270,"iwr -outf 042054ec-0b1a-11e7-bc32-089e01ba0338_2260-2270.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260&end=2270""","wget -O 042054ec-0b1a-11e7-bc32-089e01ba0338_2260-2270.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260&end=2270""","curl -L -o 042054ec-0b1a-11e7-bc32-089e01ba0338_2260-2270.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_mp4_snippet.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260&end=2270""","iwr -outf 042054ec-0b1a-11e7-bc32-089e01ba0338_2260.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260""","wget -O 042054ec-0b1a-11e7-bc32-089e01ba0338_2260.jpg ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260""","curl -L -o 042054ec-0b1a-11e7-bc32-089e01ba0338_2260.mp4 ""https://gallo.case.edu/cgi-bin/snippets/newsscape_jpg_screenshot.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260""","iwr -outf 042054ec-0b1a-11e7-bc32-089e01ba0338_2260-2270.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260&end=2270""","wget -O 042054ec-0b1a-11e7-bc32-089e01ba0338_2260-2270.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260&end=2270""","curl -L -o 042054ec-0b1a-11e7-bc32-089e01ba0338_2260-2270.wav ""https://gallo.case.edu/cgi-bin/snippets/newsscape_wav_snippet.cgi?file=042054ec-0b1a-11e7-bc32-089e01ba0338&start=2260&end=2270"""
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
